"gender","age","income","goal","career","dec","attr","sinc","intel","fun","amb","shar","like","prob","met"
0,21,69487,2,"lawyer",1,6,9,7,7,6,5,7,6,2
0,21,69487,2,"lawyer",1,7,8,7,8,5,6,7,5,1
0,21,69487,2,"lawyer",1,5,8,9,8,5,7,7,NA,1
0,21,69487,2,"lawyer",1,7,6,8,7,6,8,7,6,2
0,21,69487,2,"lawyer",1,5,6,7,7,6,6,6,6,2
0,21,69487,2,"lawyer",0,4,9,7,4,6,4,6,5,2
0,21,69487,2,"lawyer",1,7,6,7,4,6,7,6,5,2
0,21,69487,2,"lawyer",0,4,9,7,6,5,6,6,7,NA
0,21,69487,2,"lawyer",1,7,6,8,9,8,8,7,7,2
0,21,69487,2,"lawyer",1,5,6,6,8,10,8,6,6,2
0,24,65929,1,"law",0,5,7,8,4,6,3,6,4,2
0,24,65929,1,"law",0,8,5,6,6,9,6,7,3,2
0,24,65929,1,"law",0,5,8,9,6,3,4,6,7,2
0,24,65929,1,"law",1,7,9,7,6,5,7,7,8,2
0,24,65929,1,"law",0,6,8,7,9,7,8,8,6,1
0,24,65929,1,"law",0,8,7,8,3,6,2,6,5,2
0,24,65929,1,"law",1,7,5,9,6,7,9,8,7,2
0,24,65929,1,"law",0,5,8,7,5,9,5,5,6,2
0,24,65929,1,"law",1,7,6,8,9,4,5,5,6,2
0,24,65929,1,"law",1,6,7,8,7,9,8,8,7,2
0,25,NA,6,"Economist",0,7,9,10,7,8,9,8,7,1
0,25,NA,6,"Economist",0,9,7,9,8,9,7,8,7,2
0,25,NA,6,"Economist",0,7,9,9,7,9,7,8,7,2
0,25,NA,6,"Economist",0,9,7,9,7,9,7,8,7,2
0,25,NA,6,"Economist",0,9,10,10,10,10,10,9,NA,2
0,25,NA,6,"Economist",0,8,10,10,7,9,9,8,NA,2
0,25,NA,6,"Economist",0,8,9,10,7,7,9,8,7,2
0,25,NA,6,"Economist",0,7,9,9,8,9,7,8,7,2
0,25,NA,6,"Economist",0,9,9,9,9,9,9,9,7,2
0,25,NA,6,"Economist",0,8,7,9,7,9,7,8,7,2
0,23,37754,1,"lawyer/policy work",0,4,10,8,5,8,7,6,7,2
0,23,37754,1,"lawyer/policy work",0,8,7,8,10,7,8,8,1,1
0,23,37754,1,"lawyer/policy work",0,4,7,8,8,6,7,4,1,2
0,23,37754,1,"lawyer/policy work",1,8,10,7,10,7,10,8,10,1
0,23,37754,1,"lawyer/policy work",0,6,9,8,9,8,9,7,7,2
0,23,37754,1,"lawyer/policy work",0,5,10,8,4,8,2,4,3,2
0,23,37754,1,"lawyer/policy work",0,7,10,10,7,10,5,5,1,2
0,23,37754,1,"lawyer/policy work",0,5,9,9,5,9,7,6,6,2
0,23,37754,1,"lawyer/policy work",1,9,8,10,10,7,8,8,8,2
0,23,37754,1,"lawyer/policy work",1,8,9,10,10,8,8,10,8,2
0,21,86340,2,"lawyer",0,5,8,8,2,2,2,7,5,2
0,21,86340,2,"lawyer",0,8,6,6,5,5,5,6,4,1
0,21,86340,2,"lawyer",0,4,6,8,8,6,5,6,5,1
0,21,86340,2,"lawyer",1,8,5,5,7,7,9,8,2,1
0,21,86340,2,"lawyer",0,6,7,7,5,4,8,7,4,2
0,21,86340,2,"lawyer",1,5,6,7,5,7,8,7,3,2
0,21,86340,2,"lawyer",1,6,6,8,5,5,6,6,3,2
0,21,86340,2,"lawyer",1,5,5,7,6,7,5,6,4,2
0,21,86340,2,"lawyer",1,7,5,7,8,7,9,9,4,2
0,21,86340,2,"lawyer",1,9,6,7,9,6,5,10,3,2
0,23,60304,1,"lawyer",1,6,9,7,6,7,6,6,6,2
0,23,60304,1,"lawyer",1,6,9,9,6,8,2,7,6,2
0,23,60304,1,"lawyer",0,4,7,9,4,3,2,6,2,1
0,23,60304,1,"lawyer",1,8,6,7,8,2,8,9,4,2
0,23,60304,1,"lawyer",0,5,4,8,8,4,2,4,3,1
0,23,60304,1,"lawyer",0,3,7,6,1,1,1,2,2,2
0,23,60304,1,"lawyer",1,8,8,8,8,3,4,8,7,2
0,23,60304,1,"lawyer",0,4,8,9,2,8,3,5,5,2
0,23,60304,1,"lawyer",1,7,6,8,8,6,9,9,6,2
0,23,60304,1,"lawyer",1,8,9,9,9,10,7,9,8,2
0,22,54620,1,"Law",0,4,8,8,5,7,4,7,4,2
